Exchanges:  {'EX_cpd00067_e0_o': 21.753473, 'EX_cpd00007_e0_o': 111.932184, 'EX_cpd00048_e0_i': 0.351318, 'EX_cpd00001_e0_i': 95.59228, 'EX_cpd00013_e0_i': 15.547783, 'EX_cpd11632_e0_i': 909.497991, 'EX_cpd00011_e0_i': 109.265404, 'EX_cpd00009_e0_i': 5.520706, 'EX_cpd00099_e0_i': 0.0}
[Init] V0_init=-2: unscored reactions left at 0 (no mean/2 imputation)

[Init] Injecting 9 exchange flux ceilings into V0...
-> Successfully replaced 9 matrix columns.

[Init] media chain: set 39 columns from media_chain_init.tsv
-> [Init] Successfully forced 'bio1' initialization to 0.0
[EarlyStop] patience_limit=500  min_delta=0.001
QP-Loss 488000 0.035162713 0.013902131
QP-Loss 489000 0.035024893 0.013803333
QP-Loss 490000 0.034887686 0.013705019
QP-Loss 491000 0.034751218 0.013607223
QP-Loss 492000 0.034615427 0.013510056
QP-Loss 493000 0.034480356 0.013413475
QP-Loss 494000 0.03434595 0.013317433
QP-Loss 495000 0.034212593 0.013222575
QP-Loss 496000 0.03408001 0.013128405
QP-Loss 497000 0.033948116 0.01303488
QP-Loss 498000 0.033816915 0.012942117
QP-Loss 499000 0.033686336 0.01285004
QP-Loss 500000 0.033556495 0.012758717
QP-Loss 501000 0.033427343 0.012668028
QP-Loss 502000 0.033298872 0.012577901
QP-Loss 503000 0.03317121 0.012488777
QP-Loss 504000 0.033044185 0.012400291
QP-Loss 505000 0.032917727 0.012312305
QP-Loss 506000 0.032791868 0.0122251045
QP-Loss 507000 0.032666575 0.012138428
QP-Loss 508000 0.032541875 0.012052285
QP-Loss 509000 0.032417748 0.011966776
QP-Loss 510000 0.032294307 0.011881889
QP-Loss 511000 0.03217155 0.011797619
QP-Loss 512000 0.032049604 0.01171406
QP-Loss 513000 0.031928334 0.011630995
QP-Loss 514000 0.03180773 0.01154859
QP-Loss 515000 0.031687837 0.011467199
QP-Loss 516000 0.031568456 0.011386371
QP-Loss 517000 0.031449836 0.011306495
QP-Loss 518000 0.03133198 0.011227753
QP-Loss 519000 0.031214809 0.011149938
QP-Loss 520000 0.031098211 0.011072622
QP-Loss 521000 0.030982101 0.010995838
QP-Loss 522000 0.030866526 0.01091958
QP-Loss 523000 0.030751636 0.01084422
QP-Loss 524000 0.030637732 0.010770477
QP-Loss 525000 0.030524673 0.010698207
QP-Loss 526000 0.030412236 0.010626596
QP-Loss 527000 0.030300433 0.010555496
QP-Loss 528000 0.030189255 0.010484951
QP-Loss 529000 0.030078562 0.010414937
QP-Loss 530000 0.029968495 0.01034533
QP-Loss 531000 0.029858982 0.010276181
QP-Loss 532000 0.029750044 0.010207475
